session,data_origin,policy,informal_stops,short_dwell_scale,signal_scenario,n_signal_encounters,encounter_pattern,signal_offset_s,wm_to_rb_demand_shift_s,mixed_traffic,vol_rb_to_wm,vol_wm_to_rb,n_rows_calibration_subset,demand_window_s,demand_window_capped,avg_travel_time_s,avg_delay_s,delay_ratio,completed_trips,total_trips,total_distance_m,avg_speed_mps,encounter_1_green,encounter_2_green,encounter_3_green,encounter_4_green,encounter_5_green,encounter_6_green,extra_rb_to_wm_shifts_s
Morning Session,robinsons_location,baseline_all_stops,True,,enc_G_G_G_G_G_G,6,G-G-G-G-G-G,0.0,5.0,True,138,57,138,3480.0,False,309.34,119.86,0.3875,1585,1585,4810830.0,9.812,True,True,True,True,True,True,0.0;15.0
Morning Session,robinsons_location,baseline_all_stops,True,,enc_G_G_G_G_G_R,6,G-G-G-G-G-R,0.0,5.0,True,138,57,138,3480.0,False,295.44,105.96,0.3586,1585,1585,4708910.0,10.056,True,True,True,True,True,False,0.0;0.0
Morning Session,robinsons_location,baseline_all_stops,True,,enc_G_G_G_G_R_G,6,G-G-G-G-R-G,0.0,5.0,True,138,57,138,3480.0,False,312.84,123.36,0.3943,1585,1585,4848510.0,9.778,True,True,True,True,False,True,55.0;0.0
Morning Session,robinsons_location,baseline_all_stops,True,,enc_G_G_G_G_R_R,6,G-G-G-G-R-R,0.0,5.0,True,138,57,138,3480.0,False,317.37,127.88,0.403,1585,1585,4876680.0,9.695,True,True,True,True,False,False,55.0;50.0
Morning Session,robinsons_location,baseline_all_stops,True,,enc_G_G_G_R_G_G,6,G-G-G-R-G-G,0.0,0.0,True,138,57,138,3480.0,False,317.1,127.62,0.4025,1585,1585,4856290.0,9.662,True,True,True,False,True,True,0.0;20.0
Morning Session,robinsons_location,baseline_all_stops,True,,enc_G_G_G_R_G_R,6,G-G-G-R-G-R,0.0,0.0,True,138,57,138,3480.0,False,296.51,107.03,0.361,1585,1585,4717740.0,10.038,True,True,True,False,True,False,0.0;0.0
Morning Session,robinsons_location,baseline_all_stops,True,,enc_G_G_G_R_R_G,6,G-G-G-R-R-G,0.0,0.0,True,138,57,138,3480.0,False,393.55,204.07,0.5185,1585,1585,5074470.0,8.135,True,True,True,False,False,True,60.0;0.0
Morning Session,robinsons_location,baseline_all_stops,True,,enc_G_G_G_R_R_R,6,G-G-G-R-R-R,0.0,0.0,True,138,57,138,3480.0,False,341.99,152.51,0.4459,1585,1585,4976500.0,9.181,True,True,True,False,False,False,60.0;50.0
Morning Session,robinsons_location,baseline_all_stops,True,,enc_G_G_R_G_G_G,6,G-G-R-G-G-G,0.0,0.0,True,138,57,138,3480.0,False,306.07,116.59,0.3809,1585,1585,4821390.0,9.938,True,True,False,True,True,True,90.0;50.0
Morning Session,robinsons_location,baseline_all_stops,True,,enc_G_G_R_G_G_R,6,G-G-R-G-G-R,0.0,0.0,True,138,57,138,3480.0,False,309.67,120.19,0.3881,1585,1585,4806220.0,9.792,True,True,False,True,True,False,90.0;0.0
Morning Session,robinsons_location,baseline_all_stops,True,,enc_G_G_R_G_R_G,6,G-G-R-G-R-G,0.0,0.0,True,138,57,138,3480.0,False,297.52,108.04,0.3631,1585,1585,4725080.0,10.02,True,True,False,True,False,True,0.0;0.0
Morning Session,robinsons_location,baseline_all_stops,True,,enc_G_G_R_G_R_R,6,G-G-R-G-R-R,0.0,0.0,True,138,57,138,3480.0,False,318.8,129.32,0.4056,1585,1585,4913140.0,9.723,True,True,False,True,False,False,0.0;50.0
Morning Session,robinsons_location,baseline_all_stops,True,,enc_G_G_R_R_G_G,6,G-G-R-R-G-G,0.0,35.0,True,138,57,138,3480.0,False,311.88,122.4,0.3924,1585,1585,4843560.0,9.798,True,True,False,False,True,True,55.0;50.0
Morning Session,robinsons_location,baseline_all_stops,True,,enc_G_G_R_R_G_R,6,G-G-R-R-G-R,0.0,35.0,True,138,57,138,3480.0,False,315.58,126.1,0.3996,1585,1585,4876410.0,9.749,True,True,False,False,True,False,55.0;0.0
Morning Session,robinsons_location,baseline_all_stops,True,,enc_G_G_R_R_R_G,6,G-G-R-R-R-G,0.0,35.0,True,138,57,138,3480.0,False,311.97,122.49,0.3926,1585,1585,4799610.0,9.706,True,True,False,False,False,True,0.0;0.0
Morning Session,robinsons_location,baseline_all_stops,True,,enc_G_G_R_R_R_R,6,G-G-R-R-R-R,0.0,35.0,True,138,57,138,3480.0,False,306.66,117.17,0.3821,1585,1585,4864630.0,10.008,True,True,False,False,False,False,0.0;15.0
